timepoint,ROI,subject,BOLD signal
0.0,IPS,0,0.5134331027255622
0.0,IPS,1,-0.414368046075696
0.0,IPS,2,0.2146953267196351
0.0,IPS,3,0.8148087458868558
0.0,IPS,4,-0.8949922301721369
0.0,IPS,5,-0.0737093490130796
0.0,IPS,6,3.542734475413466
0.0,IPS,7,0.0801690757544154
0.0,IPS,8,1.5470826945325733
0.0,IPS,9,2.827153000390555
0.0,IPS,10,2.611358359173347
0.0,IPS,11,-0.3131321350194033
0.0,IPS,12,3.773420955684738
0.0,IPS,13,4.82991474032282
0.0,IPS,14,2.891339575837521
0.0,IPS,15,-0.736697602085396
0.0,IPS,16,3.316986139515283
0.0,IPS,17,3.77142553051872
0.0,IPS,18,1.308108715442583
0.0,IPS,19,-0.9051716377771052
0.0,AG,0,1.0483690653634063
0.0,AG,1,0.980156108994631
0.0,AG,2,2.817243817877357
0.0,AG,3,0.7371128874092425
0.0,AG,4,2.203094497215115
0.0,AG,5,0.4121313898814115
0.0,AG,6,1.8992587282397373
0.0,AG,7,0.905484796656398
0.0,AG,8,-0.3550295028293755
0.0,AG,9,-1.695758671341259
0.0,AG,10,-1.084440967679713
0.0,AG,11,0.935800471829306
0.0,AG,12,0.0856152082214608
0.0,AG,13,-1.0745526432251271
0.0,AG,14,1.4288169781130209
0.0,AG,15,0.5445830767520106
0.0,AG,16,2.72219977985527
0.0,AG,17,-0.4709778719852718
0.0,AG,18,0.915208992353353
0.0,AG,19,1.3916790162966497
0.0,V1,0,1.8202012195893096
0.0,V1,1,0.2571989958485923
0.0,V1,2,1.9460455848654217
0.0,V1,3,3.507984359261221
0.0,V1,4,2.4864416742084354
0.0,V1,5,-1.534044638177171
0.0,V1,6,0.8569754726729291
0.0,V1,7,-1.0486713046689329
0.0,V1,8,2.4847724625621384
0.0,V1,9,-0.6736054789265489
0.0,V1,10,-0.3408223994977652
0.0,V1,11,2.908160595017196
0.0,V1,12,2.992470041542188
0.0,V1,13,-0.324952711003208
0.0,V1,14,2.36043984846849
0.0,V1,15,0.6992003934300172
0.0,V1,16,1.4580053879916497
0.0,V1,17,1.993810664572654
0.0,V1,18,1.2013641583721435
0.0,V1,19,0.5823770652720677
0.101010101010101,IPS,0,0.4673192417779404
0.101010101010101,IPS,1,-0.4604819070233176
0.101010101010101,IPS,2,0.1685814657720133
0.101010101010101,IPS,3,0.768694884939234
0.101010101010101,IPS,4,-0.9411060911197586
0.101010101010101,IPS,5,-0.1198232099607013
0.101010101010101,IPS,6,3.496620614465844
0.101010101010101,IPS,7,0.0340552148067938
0.101010101010101,IPS,8,1.5009688335849514
0.101010101010101,IPS,9,2.781039139442933
0.101010101010101,IPS,10,2.565244498225725
0.101010101010101,IPS,11,-0.3592459959670249
0.101010101010101,IPS,12,3.727307094737117
0.101010101010101,IPS,13,4.783800879375198
0.101010101010101,IPS,14,2.8452257148898994
0.101010101010101,IPS,15,-0.7828114630330176
0.101010101010101,IPS,16,3.270872278567661
0.101010101010101,IPS,17,3.725311669571098
0.101010101010101,IPS,18,1.261994854494961
0.101010101010101,IPS,19,-0.9512854987247268
0.101010101010101,AG,0,1.0484082738293343
0.101010101010101,AG,1,0.9801953174605592
0.101010101010101,AG,2,2.817283026343285
0.101010101010101,AG,3,0.7371520958751709
0.101010101010101,AG,4,2.203133705681044
0.101010101010101,AG,5,0.4121705983473398
0.101010101010101,AG,6,1.899297936705666
0.101010101010101,AG,7,0.9055240051223266
0.101010101010101,AG,8,-0.3549902943634472
0.101010101010101,AG,9,-1.6957194628753305
0.101010101010101,AG,10,-1.084401759213785
0.101010101010101,AG,11,0.9358396802952346
0.101010101010101,AG,12,0.0856544166873891
0.101010101010101,AG,13,-1.0745134347591987
0.101010101010101,AG,14,1.4288561865789486
0.101010101010101,AG,15,0.5446222852179389
0.101010101010101,AG,16,2.722238988321198
0.101010101010101,AG,17,-0.4709386635193435
0.101010101010101,AG,18,0.9152482008192814
0.101010101010101,AG,19,1.391718224762578
0.101010101010101,V1,0,1.8202012062544572
0.101010101010101,V1,1,0.2571989825137402
0.101010101010101,V1,2,1.9460455715305691
0.101010101010101,V1,3,3.5079843459263693
0.101010101010101,V1,4,2.4864416608735835
0.101010101010101,V1,5,-1.5340446515120232
0.101010101010101,V1,6,0.8569754593380768
0.101010101010101,V1,7,-1.0486713180037848
0.101010101010101,V1,8,2.4847724492272856
0.101010101010101,V1,9,-0.673605492261401
0.101010101010101,V1,10,-0.3408224128326173
0.101010101010101,V1,11,2.908160581682344
0.101010101010101,V1,12,2.992470028207336
0.101010101010101,V1,13,-0.3249527243380601
0.101010101010101,V1,14,2.360439835133638
0.101010101010101,V1,15,0.6992003800951649
0.101010101010101,V1,16,1.4580053746567971
0.101010101010101,V1,17,1.993810651237802
0.101010101010101,V1,18,1.2013641450372914
0.101010101010101,V1,19,0.5823770519372153
0.202020202020202,IPS,0,0.3466994181748567
0.202020202020202,IPS,1,-0.5811017306264012
0.202020202020202,IPS,2,0.0479616421689296
0.202020202020202,IPS,3,0.6480750613361503
0.202020202020202,IPS,4,-1.0617259147228422
0.202020202020202,IPS,5,-0.240443033563785
0.202020202020202,IPS,6,3.376000790862761
0.202020202020202,IPS,7,-0.0865646087962898
0.202020202020202,IPS,8,1.3803490099818676
0.202020202020202,IPS,9,2.6604193158398504
0.202020202020202,IPS,10,2.444624674622641
0.202020202020202,IPS,11,-0.4798658195701086
0.202020202020202,IPS,12,3.606687271134033
0.202020202020202,IPS,13,4.663181055772113
0.202020202020202,IPS,14,2.724605891286816
0.202020202020202,IPS,15,-0.9034312866361014
0.202020202020202,IPS,16,3.150252454964577
0.202020202020202,IPS,17,3.604691845968015
0.202020202020202,IPS,18,1.1413750308918775
0.202020202020202,IPS,19,-1.0719053223278106
0.202020202020202,AG,0,1.0489361288758057
0.202020202020202,AG,1,0.98072317250703
0.202020202020202,AG,2,2.8178108813897564
0.202020202020202,AG,3,0.7376799509216416
0.202020202020202,AG,4,2.203661560727514
0.202020202020202,AG,5,0.4126984533938106
0.202020202020202,AG,6,1.8998257917521368
0.202020202020202,AG,7,0.9060518601687972
0.202020202020202,AG,8,-0.3544624393169764
0.202020202020202,AG,9,-1.6951916078288598
0.202020202020202,AG,10,-1.083873904167314
0.202020202020202,AG,11,0.9363675353417054
0.202020202020202,AG,12,0.0861822717338599
0.202020202020202,AG,13,-1.073985579712728
0.202020202020202,AG,14,1.429384041625419
0.202020202020202,AG,15,0.5451501402644097
0.202020202020202,AG,16,2.722766843367669
0.202020202020202,AG,17,-0.4704108084728726
0.202020202020202,AG,18,0.9157760558657522
0.202020202020202,AG,19,1.3922460798090492
0.202020202020202,V1,0,1.8202004481530447
0.202020202020202,V1,1,0.2571982244123275
0.202020202020202,V1,2,1.946044813429157
0.202020202020202,V1,3,3.507983587824957
